tile,x,y,prediction,confidence
gridHE__20211011_160350_(3)tile_3544_level1_68608-65536-69632-66560.png,68608,65536,0,0.44584
gridHE__20211011_160350_(3)tile_1745_level1_41984-20480-43008-21504.png,41984,20480,0,0.59332
gridHE__20211011_160350_(3)tile_2075_level1_47104-34816-48128-35840.png,47104,34816,1,0.85029
gridHE__20211011_160350_(3)tile_2031_level1_46080-55296-47104-56320.png,46080,55296,1,0.95102
gridHE__20211011_160350_(3)tile_3434_level1_67584-24576-68608-25600.png,67584,24576,0,0.53543
gridHE__20211011_160350_(3)tile_2906_level1_59392-59392-60416-60416.png,59392,59392,0,0.95765
gridHE__20211011_160350_(3)tile_724_level1_23552-53248-24576-54272.png,23552,53248,1,0.80853
gridHE__20211011_160350_(3)tile_639_level1_22528-20480-23552-21504.png,22528,20480,0,0.59795
gridHE__20211011_160350_(3)tile_1042_level1_29696-34816-30720-35840.png,29696,34816,2,0.62596
gridHE__20211011_160350_(3)tile_3967_level1_76800-25600-77824-26624.png,76800,25600,2,0.56257
gridHE__20211011_160350_(3)tile_1532_level1_37888-52224-38912-53248.png,37888,52224,1,0.80339
gridHE__20211011_160350_(3)tile_2711_level1_56320-78848-57344-79872.png,56320,78848,1,0.77512
gridHE__20211011_160350_(3)tile_2821_level1_58368-46080-59392-47104.png,58368,46080,0,0.66590
gridHE__20211011_160350_(3)tile_3316_level1_65536-45056-66560-46080.png,65536,45056,0,0.99697
gridHE__20211011_160350_(3)tile_297_level1_14336-52224-15360-53248.png,14336,52224,0,0.98282
gridHE__20211011_160350_(3)tile_1940_level1_45056-26624-46080-27648.png,45056,26624,0,0.52891
gridHE__20211011_160350_(3)tile_2970_level1_60416-51200-61440-52224.png,60416,51200,0,0.99684
gridHE__20211011_160350_(3)tile_3357_level1_66560-12288-67584-13312.png,66560,12288,2,0.71819
gridHE__20211011_160350_(3)tile_2304_level1_50176-77824-51200-78848.png,50176,77824,1,0.67710
gridHE__20211011_160350_(3)tile_1699_level1_40960-34816-41984-35840.png,40960,34816,0,0.78232
gridHE__20211011_160350_(3)tile_614_level1_21504-50176-22528-51200.png,21504,50176,0,0.57775
gridHE__20211011_160350_(3)tile_4167_level1_81920-69632-82944-70656.png,81920,69632,2,0.40254
gridHE__20211011_160350_(3)tile_2703_level1_56320-70656-57344-71680.png,56320,70656,1,0.71327
gridHE__20211011_160350_(3)tile_2067_level1_47104-26624-48128-27648.png,47104,26624,0,0.83435
gridHE__20211011_160350_(3)tile_719_level1_23552-48128-24576-49152.png,23552,48128,0,0.79392
gridHE__20211011_160350_(3)tile_2807_level1_58368-31744-59392-32768.png,58368,31744,0,0.97596
gridHE__20211011_160350_(3)tile_56_level1_7168-82944-8192-83968.png,7168,82944,0,0.59694
gridHE__20211011_160350_(3)tile_2474_level1_53248-45056-54272-46080.png,53248,45056,1,0.88696
gridHE__20211011_160350_(3)tile_643_level1_22528-24576-23552-25600.png,22528,24576,0,0.53454
gridHE__20211011_160350_(3)tile_3221_level1_64512-17408-65536-18432.png,64512,17408,0,0.95294
gridHE__20211011_160350_(3)tile_3903_level1_74752-60416-75776-61440.png,74752,60416,0,0.93023
gridHE__20211011_160350_(3)tile_2247_level1_50176-12288-51200-13312.png,50176,12288,0,0.55360
gridHE__20211011_160350_(3)tile_3574_level1_69632-23552-70656-24576.png,69632,23552,0,0.45219
gridHE__20211011_160350_(3)tile_52_level1_7168-34816-8192-35840.png,7168,34816,0,0.83461
gridHE__20211011_160350_(3)tile_3665_level1_70656-46080-71680-47104.png,70656,46080,0,0.61936
gridHE__20211011_160350_(3)tile_301_level1_14336-56320-15360-57344.png,14336,56320,0,0.99801
gridHE__20211011_160350_(3)tile_111_level1_9216-40960-10240-41984.png,9216,40960,0,0.98145
gridHE__20211011_160350_(3)tile_634_level1_22528-15360-23552-16384.png,22528,15360,0,0.90943
gridHE__20211011_160350_(3)tile_1276_level1_33792-33792-34816-34816.png,33792,33792,0,0.71253
gridHE__20211011_160350_(3)tile_3925_level1_75776-23552-76800-24576.png,75776,23552,1,0.59168
gridHE__20211011_160350_(3)tile_663_level1_22528-46080-23552-47104.png,22528,46080,0,0.98054
gridHE__20211011_160350_(3)tile_2929_level1_60416-9216-61440-10240.png,60416,9216,0,0.94414
gridHE__20211011_160350_(3)tile_2635_level1_55296-70656-56320-71680.png,55296,70656,1,0.69894
gridHE__20211011_160350_(3)tile_2406_level1_52224-44032-53248-45056.png,52224,44032,1,0.95075
gridHE__20211011_160350_(3)tile_2171_level1_48128-70656-49152-71680.png,48128,70656,1,0.96156
gridHE__20211011_160350_(3)tile_3570_level1_69632-19456-70656-20480.png,69632,19456,0,0.58264
gridHE__20211011_160350_(3)tile_1317_level1_34816-15360-35840-16384.png,34816,15360,0,0.81227
gridHE__20211011_160350_(3)tile_3513_level1_68608-31744-69632-32768.png,68608,31744,0,0.98300
gridHE__20211011_160350_(3)tile_1402_level1_35840-40960-36864-41984.png,35840,40960,0,0.46235
gridHE__20211011_160350_(3)tile_1253_level1_32768-71680-33792-72704.png,32768,71680,0,0.96017
gridHE__20211011_160350_(3)tile_4227_level1_84992-60416-86016-61440.png,84992,60416,0,0.99872
gridHE__20211011_160350_(3)tile_1808_level1_43008-24576-44032-25600.png,43008,24576,0,0.78872
gridHE__20211011_160350_(3)tile_2535_level1_54272-36864-55296-37888.png,54272,36864,2,0.46224
gridHE__20211011_160350_(3)tile_2715_level1_57344-10240-58368-11264.png,57344,10240,0,0.98147
gridHE__20211011_160350_(3)tile_72_level1_8192-32768-9216-33792.png,8192,32768,1,0.57483
gridHE__20211011_160350_(3)tile_628_level1_21504-64512-22528-65536.png,21504,64512,0,0.99677
gridHE__20211011_160350_(3)tile_1973_level1_45056-60416-46080-61440.png,45056,60416,1,0.78394
gridHE__20211011_160350_(3)tile_4288_level1_87040-60416-88064-61440.png,87040,60416,0,0.96482
gridHE__20211011_160350_(3)tile_545_level1_20480-31744-21504-32768.png,20480,31744,0,0.99457
gridHE__20211011_160350_(3)tile_364_level1_16384-27648-17408-28672.png,16384,27648,0,0.96873
gridHE__20211011_160350_(3)tile_2859_level1_59392-11264-60416-12288.png,59392,11264,0,0.91114
gridHE__20211011_160350_(3)tile_717_level1_23552-46080-24576-47104.png,23552,46080,0,0.90045
gridHE__20211011_160350_(3)tile_1167_level1_31744-41984-32768-43008.png,31744,41984,0,0.65052
gridHE__20211011_160350_(3)tile_409_level1_17408-25600-18432-26624.png,17408,25600,0,0.98014
gridHE__20211011_160350_(3)tile_1243_level1_32768-61440-33792-62464.png,32768,61440,1,0.83257
gridHE__20211011_160350_(3)tile_3856_level1_73728-48128-74752-49152.png,73728,48128,1,0.62956
gridHE__20211011_160350_(3)tile_1309_level1_33792-68608-34816-69632.png,33792,68608,0,0.99749
gridHE__20211011_160350_(3)tile_1098_level1_30720-31744-31744-32768.png,30720,31744,2,0.43782
gridHE__20211011_160350_(3)tile_3090_level1_62464-29696-63488-30720.png,62464,29696,0,0.97361
gridHE__20211011_160350_(3)tile_4206_level1_83968-72704-84992-73728.png,83968,72704,1,0.60882
gridHE__20211011_160350_(3)tile_1219_level1_32768-36864-33792-37888.png,32768,36864,0,0.94794
gridHE__20211011_160350_(3)tile_473_level1_18432-53248-19456-54272.png,18432,53248,0,0.97723
gridHE__20211011_160350_(3)tile_3255_level1_64512-55296-65536-56320.png,64512,55296,1,0.65951
gridHE__20211011_160350_(3)tile_2277_level1_50176-48128-51200-49152.png,50176,48128,1,0.63184
gridHE__20211011_160350_(3)tile_905_level1_27648-13312-28672-14336.png,27648,13312,0,0.55360
gridHE__20211011_160350_(3)tile_2679_level1_56320-44032-57344-45056.png,56320,44032,0,0.60410
gridHE__20211011_160350_(3)tile_2918_level1_59392-71680-60416-72704.png,59392,71680,1,0.52258
gridHE__20211011_160350_(3)tile_1565_level1_38912-24576-39936-25600.png,38912,24576,0,0.57972
gridHE__20211011_160350_(3)tile_33_level1_7168-12288-8192-13312.png,7168,12288,0,0.99896
gridHE__20211011_160350_(3)tile_3385_level1_66560-45056-67584-46080.png,66560,45056,0,0.99754
gridHE__20211011_160350_(3)tile_1773_level1_41984-54272-43008-55296.png,41984,54272,1,0.89478
gridHE__20211011_160350_(3)tile_3310_level1_65536-38912-66560-39936.png,65536,38912,0,0.92541
gridHE__20211011_160350_(3)tile_2199_level1_49152-30720-50176-31744.png,49152,30720,0,0.86757
gridHE__20211011_160350_(3)tile_1072_level1_29696-65536-30720-66560.png,29696,65536,0,0.99346
gridHE__20211011_160350_(3)tile_2717_level1_57344-12288-58368-13312.png,57344,12288,0,0.96252
gridHE__20211011_160350_(3)tile_2410_level1_52224-48128-53248-49152.png,52224,48128,1,0.71888
gridHE__20211011_160350_(3)tile_564_level1_20480-53248-21504-54272.png,20480,53248,0,0.84218
gridHE__20211011_160350_(3)tile_2616_level1_55296-49152-56320-50176.png,55296,49152,2,0.59473
gridHE__20211011_160350_(3)tile_1107_level1_30720-41984-31744-43008.png,30720,41984,0,0.63785
gridHE__20211011_160350_(3)tile_2697_level1_56320-64512-57344-65536.png,56320,64512,2,0.60445
gridHE__20211011_160350_(3)tile_3364_level1_66560-19456-67584-20480.png,66560,19456,0,0.99774
gridHE__20211011_160350_(3)tile_2100_level1_47104-61440-48128-62464.png,47104,61440,0,0.97392
gridHE__20211011_160350_(3)tile_3176_level1_63488-45056-64512-46080.png,63488,45056,0,0.93435
gridHE__20211011_160350_(3)tile_3395_level1_66560-56320-67584-57344.png,66560,56320,1,0.50924
gridHE__20211011_160350_(3)tile_1236_level1_32768-54272-33792-55296.png,32768,54272,1,0.81371
gridHE__20211011_160350_(3)tile_4261_level1_86016-62464-87040-63488.png,86016,62464,0,0.99919
gridHE__20211011_160350_(3)tile_1116_level1_30720-51200-31744-52224.png,30720,51200,1,0.46932
gridHE__20211011_160350_(3)tile_2299_level1_50176-72704-51200-73728.png,50176,72704,0,0.63102
gridHE__20211011_160350_(3)tile_3985_level1_76800-60416-77824-61440.png,76800,60416,0,0.40723
gridHE__20211011_160350_(3)tile_3057_level1_61440-70656-62464-71680.png,61440,70656,1,0.62836
gridHE__20211011_160350_(3)tile_3928_level1_75776-26624-76800-27648.png,75776,26624,1,0.49002
gridHE__20211011_160350_(3)tile_1567_level1_38912-26624-39936-27648.png,38912,26624,0,0.74468
gridHE__20211011_160350_(3)tile_1718_level1_40960-58368-41984-59392.png,40960,58368,1,0.89669
gridHE__20211011_160350_(3)tile_2008_level1_46080-29696-47104-30720.png,46080,29696,2,0.44841
gridHE__20211011_160350_(3)tile_2963_level1_60416-44032-61440-45056.png,60416,44032,0,0.84220
gridHE__20211011_160350_(3)tile_1108_level1_30720-43008-31744-44032.png,30720,43008,0,0.84837
gridHE__20211011_160350_(3)tile_1279_level1_33792-36864-34816-37888.png,33792,36864,0,0.91219
gridHE__20211011_160350_(3)tile_3988_level1_76800-64512-77824-65536.png,76800,64512,1,0.64558
gridHE__20211011_160350_(3)tile_785_level1_24576-59392-25600-60416.png,24576,59392,0,0.58279
gridHE__20211011_160350_(3)tile_1383_level1_35840-21504-36864-22528.png,35840,21504,1,0.82371
gridHE__20211011_160350_(3)tile_3272_level1_64512-72704-65536-73728.png,64512,72704,0,0.74205
gridHE__20211011_160350_(3)tile_2786_level1_58368-10240-59392-11264.png,58368,10240,0,0.84190
gridHE__20211011_160350_(3)tile_2857_level1_59392-9216-60416-10240.png,59392,9216,0,0.87170
gridHE__20211011_160350_(3)tile_3964_level1_76800-22528-77824-23552.png,76800,22528,1,0.51458
gridHE__20211011_160350_(3)tile_1723_level1_40960-63488-41984-64512.png,40960,63488,0,0.97639
gridHE__20211011_160350_(3)tile_2392_level1_52224-29696-53248-30720.png,52224,29696,0,0.55756
gridHE__20211011_160350_(3)tile_1639_level1_39936-37888-40960-38912.png,39936,37888,0,0.92000
gridHE__20211011_160350_(3)tile_3539_level1_68608-58368-69632-59392.png,68608,58368,0,0.99407
gridHE__20211011_160350_(3)tile_3664_level1_70656-45056-71680-46080.png,70656,45056,0,0.73500
gridHE__20211011_160350_(3)tile_3695_level1_70656-78848-71680-79872.png,70656,78848,1,0.52733
gridHE__20211011_160350_(3)tile_2450_level1_53248-20480-54272-21504.png,53248,20480,0,0.47813
gridHE__20211011_160350_(3)tile_2497_level1_53248-70656-54272-71680.png,53248,70656,1,0.80415
gridHE__20211011_160350_(3)tile_4231_level1_84992-70656-86016-71680.png,84992,70656,1,0.52092
gridHE__20211011_160350_(3)tile_3524_level1_68608-43008-69632-44032.png,68608,43008,0,0.50568
gridHE__20211011_160350_(3)tile_1425_level1_35840-64512-36864-65536.png,35840,64512,0,0.92004
gridHE__20211011_160350_(3)tile_4128_level1_80896-11264-81920-12288.png,80896,11264,0,0.99309
gridHE__20211011_160350_(3)tile_1126_level1_30720-61440-31744-62464.png,30720,61440,1,0.51195
gridHE__20211011_160350_(3)tile_3059_level1_61440-72704-62464-73728.png,61440,72704,1,0.52668
gridHE__20211011_160350_(3)tile_1922_level1_44032-74752-45056-75776.png,44032,74752,1,0.66538
gridHE__20211011_160350_(3)tile_2245_level1_50176-10240-51200-11264.png,50176,10240,0,0.87398
gridHE__20211011_160350_(3)tile_349_level1_16384-12288-17408-13312.png,16384,12288,0,0.99619
gridHE__20211011_160350_(3)tile_3188_level1_63488-57344-64512-58368.png,63488,57344,1,0.45412
gridHE__20211011_160350_(3)tile_3685_level1_70656-68608-71680-69632.png,70656,68608,1,0.68221
gridHE__20211011_160350_(3)tile_1930_level1_45056-16384-46080-17408.png,45056,16384,0,0.78820
gridHE__20211011_160350_(3)tile_3833_level1_73728-23552-74752-24576.png,73728,23552,1,0.80268
gridHE__20211011_160350_(3)tile_740_level1_24576-13312-25600-14336.png,24576,13312,0,0.58723
gridHE__20211011_160350_(3)tile_1142_level1_31744-16384-32768-17408.png,31744,16384,0,0.77891
gridHE__20211011_160350_(3)tile_1282_level1_33792-39936-34816-40960.png,33792,39936,0,0.70190
gridHE__20211011_160350_(3)tile_2143_level1_48128-39936-49152-40960.png,48128,39936,0,0.65441
gridHE__20211011_160350_(3)tile_3970_level1_76800-28672-77824-29696.png,76800,28672,0,0.50596
gridHE__20211011_160350_(3)tile_684_level1_23552-12288-24576-13312.png,23552,12288,0,0.49140
gridHE__20211011_160350_(3)tile_1125_level1_30720-60416-31744-61440.png,30720,60416,1,0.83461
gridHE__20211011_160350_(3)tile_476_level1_18432-56320-19456-57344.png,18432,56320,2,0.44366
gridHE__20211011_160350_(3)tile_468_level1_18432-48128-19456-49152.png,18432,48128,0,0.98154
gridHE__20211011_160350_(3)tile_2763_level1_57344-59392-58368-60416.png,57344,59392,0,0.63570
gridHE__20211011_160350_(3)tile_4257_level1_86016-58368-87040-59392.png,86016,58368,0,0.99718
gridHE__20211011_160350_(3)tile_423_level1_17408-39936-18432-40960.png,17408,39936,0,0.98468
gridHE__20211011_160350_(3)tile_3329_level1_65536-58368-66560-59392.png,65536,58368,1,0.71814
gridHE__20211011_160350_(3)tile_819_level1_25600-38912-26624-39936.png,25600,38912,0,0.93581
gridHE__20211011_160350_(3)tile_2849_level1_58368-74752-59392-75776.png,58368,74752,1,0.51717
gridHE__20211011_160350_(3)tile_3179_level1_63488-48128-64512-49152.png,63488,48128,0,0.99641
gridHE__20211011_160350_(3)tile_548_level1_20480-36864-21504-37888.png,20480,36864,0,0.96641
gridHE__20211011_160350_(3)tile_1333_level1_34816-31744-35840-32768.png,34816,31744,0,0.59250
gridHE__20211011_160350_(3)tile_3827_level1_73728-12288-74752-13312.png,73728,12288,0,0.78536
gridHE__20211011_160350_(3)tile_3792_level1_72704-43008-73728-44032.png,72704,43008,2,0.89001
gridHE__20211011_160350_(3)tile_2221_level1_49152-54272-50176-55296.png,49152,54272,1,0.62919
gridHE__20211011_160350_(3)tile_3423_level1_67584-13312-68608-14336.png,67584,13312,0,0.95520
gridHE__20211011_160350_(3)tile_2309_level1_51200-13312-52224-14336.png,51200,13312,0,0.50349
gridHE__20211011_160350_(3)tile_1019_level1_29696-11264-30720-12288.png,29696,11264,0,0.99476
gridHE__20211011_160350_(3)tile_2996_level1_60416-78848-61440-79872.png,60416,78848,1,0.82886
gridHE__20211011_160350_(3)tile_1225_level1_32768-43008-33792-44032.png,32768,43008,0,0.94073
gridHE__20211011_160350_(3)tile_3960_level1_76800-18432-77824-19456.png,76800,18432,1,0.51896
gridHE__20211011_160350_(3)tile_3896_level1_74752-49152-75776-50176.png,74752,49152,0,0.68898
gridHE__20211011_160350_(3)tile_1205_level1_32768-22528-33792-23552.png,32768,22528,1,0.72024
gridHE__20211011_160350_(3)tile_2796_level1_58368-20480-59392-21504.png,58368,20480,0,0.39862
gridHE__20211011_160350_(3)tile_941_level1_27648-50176-28672-51200.png,27648,50176,0,0.72386
gridHE__20211011_160350_(3)tile_3761_level1_71680-79872-72704-80896.png,71680,79872,1,0.75092
gridHE__20211011_160350_(3)tile_3379_level1_66560-36864-67584-37888.png,66560,36864,0,0.98935
gridHE__20211011_160350_(3)tile_1595_level1_38912-55296-39936-56320.png,38912,55296,1,0.77479
gridHE__20211011_160350_(3)tile_1060_level1_29696-53248-30720-54272.png,29696,53248,1,0.64845
gridHE__20211011_160350_(3)tile_1244_level1_32768-62464-33792-63488.png,32768,62464,1,0.67504
gridHE__20211011_160350_(3)tile_1760_level1_41984-35840-43008-36864.png,41984,35840,0,0.59912
gridHE__20211011_160350_(3)tile_2917_level1_59392-70656-60416-71680.png,59392,70656,0,0.43757
gridHE__20211011_160350_(3)tile_79_level1_8192-40960-9216-41984.png,8192,40960,0,0.99429
gridHE__20211011_160350_(3)tile_604_level1_21504-39936-22528-40960.png,21504,39936,0,0.95886
gridHE__20211011_160350_(3)tile_829_level1_25600-49152-26624-50176.png,25600,49152,0,0.85121
gridHE__20211011_160350_(3)tile_816_level1_25600-35840-26624-36864.png,25600,35840,0,0.46284
gridHE__20211011_160350_(3)tile_4054_level1_78848-33792-79872-34816.png,78848,33792,0,0.98822
gridHE__20211011_160350_(3)tile_4124_level1_79872-75776-80896-76800.png,79872,75776,2,0.38018
gridHE__20211011_160350_(3)tile_422_level1_17408-38912-18432-39936.png,17408,38912,0,0.98414
gridHE__20211011_160350_(3)tile_3157_level1_63488-24576-64512-25600.png,63488,24576,2,0.57241
gridHE__20211011_160350_(3)tile_957_level1_27648-66560-28672-67584.png,27648,66560,0,0.93882
gridHE__20211011_160350_(3)tile_751_level1_24576-24576-25600-25600.png,24576,24576,0,0.87173
gridHE__20211011_160350_(3)tile_3460_level1_67584-51200-68608-52224.png,67584,51200,0,0.49596
gridHE__20211011_160350_(3)tile_2553_level1_54272-55296-55296-56320.png,54272,55296,0,0.87947
gridHE__20211011_160350_(3)tile_4245_level1_86016-46080-87040-47104.png,86016,46080,0,0.98573
gridHE__20211011_160350_(3)tile_4105_level1_79872-41984-80896-43008.png,79872,41984,0,0.96286
gridHE__20211011_160350_(3)tile_1052_level1_29696-45056-30720-46080.png,29696,45056,0,0.75007
gridHE__20211011_160350_(3)tile_2795_level1_58368-19456-59392-20480.png,58368,19456,1,0.46624
gridHE__20211011_160350_(3)tile_1900_level1_44032-52224-45056-53248.png,44032,52224,1,0.90634
gridHE__20211011_160350_(3)tile_1291_level1_33792-50176-34816-51200.png,33792,50176,0,0.88894
gridHE__20211011_160350_(3)tile_3362_level1_66560-17408-67584-18432.png,66560,17408,0,0.98425
gridHE__20211011_160350_(3)tile_619_level1_21504-55296-22528-56320.png,21504,55296,0,0.97475
gridHE__20211011_160350_(3)tile_2634_level1_55296-69632-56320-70656.png,55296,69632,1,0.59973
gridHE__20211011_160350_(3)tile_2057_level1_47104-16384-48128-17408.png,47104,16384,0,0.62593
gridHE__20211011_160350_(3)tile_2009_level1_46080-30720-47104-31744.png,46080,30720,1,0.42222
gridHE__20211011_160350_(3)tile_2033_level1_46080-57344-47104-58368.png,46080,57344,1,0.83364
gridHE__20211011_160350_(3)tile_3799_level1_72704-50176-73728-51200.png,72704,50176,1,0.74423
gridHE__20211011_160350_(3)tile_2468_level1_53248-38912-54272-39936.png,53248,38912,2,0.55351
gridHE__20211011_160350_(3)tile_2921_level1_59392-74752-60416-75776.png,59392,74752,1,0.70848
gridHE__20211011_160350_(3)tile_4250_level1_86016-51200-87040-52224.png,86016,51200,0,0.99029
gridHE__20211011_160350_(3)tile_1267_level1_33792-24576-34816-25600.png,33792,24576,0,0.41901
gridHE__20211011_160350_(3)tile_791_level1_24576-65536-25600-66560.png,24576,65536,0,0.99757
gridHE__20211011_160350_(3)tile_3400_level1_66560-62464-67584-63488.png,66560,62464,1,0.43851
gridHE__20211011_160350_(3)tile_527_level1_19456-62464-20480-63488.png,19456,62464,0,0.99833
gridHE__20211011_160350_(3)tile_963_level1_28672-14336-29696-15360.png,28672,14336,0,0.46450
gridHE__20211011_160350_(3)tile_1206_level1_32768-23552-33792-24576.png,32768,23552,0,0.80058
gridHE__20211011_160350_(3)tile_1057_level1_29696-50176-30720-51200.png,29696,50176,0,0.50335
gridHE__20211011_160350_(3)tile_3181_level1_63488-50176-64512-51200.png,63488,50176,0,0.73480
gridHE__20211011_160350_(3)tile_762_level1_24576-35840-25600-36864.png,24576,35840,2,0.66830
gridHE__20211011_160350_(3)tile_3245_level1_64512-45056-65536-46080.png,64512,45056,0,0.99282
gridHE__20211011_160350_(3)tile_4017_level1_77824-38912-78848-39936.png,77824,38912,0,0.98904
gridHE__20211011_160350_(3)tile_3355_level1_66560-10240-67584-11264.png,66560,10240,0,0.99438
